,0,1,2,3,4,5,6,7
0,True,False,False,False,False,True,False,True
1,False,False,False,False,False,False,False,False
2,True,True,True,False,False,True,True,True
3,True,True,True,True,False,False,False,False
4,False,False,False,False,False,False,True,True
5,False,False,False,False,False,False,True,True
6,True,True,False,False,False,False,False,True
7,False,False,False,False,False,True,True,True
8,True,True,True,True,True,True,True,True
9,True,True,False,False,False,True,True,True
10,True,True,True,True,True,True,True,True
11,True,False,False,False,False,False,False,False
12,True,True,True,False,False,False,False,False
13,True,False,False,False,False,False,False,True
14,True,True,False,False,False,False,False,False
15,True,True,True,True,False,False,False,True
16,True,True,False,False,False,False,True,True
17,True,False,False,False,False,True,True,True
18,True,False,False,False,False,True,True,True
19,False,False,False,False,False,False,False,True
20,True,False,False,False,False,True,True,True
21,True,True,True,True,False,False,False,False
22,False,False,False,False,False,False,True,True
23,True,False,False,False,False,True,True,True
24,False,False,False,False,False,True,False,False
25,True,False,False,False,False,False,False,True
26,True,False,False,False,False,True,True,True
27,True,True,False,False,False,False,False,True
28,False,False,False,False,False,False,False,False
29,True,False,False,False,False,False,False,True
30,True,True,True,True,False,False,False,False
31,True,False,False,False,False,False,False,True
32,True,True,True,True,True,True,True,True
33,False,False,False,False,False,False,False,True
34,True,False,False,False,False,True,True,True
35,True,False,False,False,False,True,False,False
36,False,False,False,False,False,True,False,True
37,False,False,False,False,False,True,True,True
38,True,True,False,False,False,False,False,False
39,True,True,True,False,False,True,True,True
40,False,False,False,False,False,True,True,True
41,False,False,False,False,False,False,False,True
42,True,True,True,False,False,False,False,True
43,True,False,False,False,False,True,True,True
44,False,False,False,False,False,False,False,False
45,True,False,False,False,False,False,False,False
46,True,True,True,True,False,False,False,True
47,True,True,False,False,False,False,False,True
48,True,True,False,False,False,True,True,True
49,True,False,False,False,False,False,False,False
50,True,True,False,False,False,True,True,True
51,True,True,True,True,True,True,True,True
52,True,False,False,False,False,False,False,True
53,False,False,False,False,False,True,True,True
54,False,False,False,False,False,True,True,True
55,True,False,False,False,False,True,True,True
56,True,True,False,False,False,True,True,True
57,True,True,False,False,False,False,False,True
