,0,1,2,3,4,5,6,7
0,False,True,True,True,False,True,False,False
1,False,False,True,True,True,False,True,False
2,False,True,False,True,False,True,False,False
3,True,True,False,False,True,False,False,False
4,False,False,True,False,False,False,True,True
5,True,False,True,False,False,False,True,True
6,True,False,True,False,False,True,True,True
7,False,False,False,True,False,False,False,False
8,False,False,True,False,False,False,True,True
9,True,False,False,False,True,False,True,True
10,True,False,False,True,False,False,False,False
11,False,True,False,True,False,True,False,True
12,False,False,False,True,False,True,True,True
13,True,False,True,False,False,False,True,False
14,True,True,True,False,True,True,False,True
15,False,True,False,False,True,False,False,False
16,True,False,False,True,True,True,True,True
17,True,True,False,False,False,True,True,False
18,False,True,True,True,True,False,True,False
19,True,False,True,False,True,True,True,True
20,True,True,False,False,True,True,True,True
21,False,True,True,True,False,False,False,True
22,True,False,True,False,False,True,False,False
23,True,False,True,True,False,True,False,True
24,True,False,True,True,True,True,True,False
25,False,False,True,False,False,True,True,True
26,True,True,True,True,False,True,False,True
27,True,True,False,False,False,True,False,True
28,True,True,True,True,True,False,True,True
29,True,False,True,False,True,True,False,False
30,False,True,False,False,False,False,True,False
31,True,False,False,True,False,True,True,True
32,True,True,True,True,False,True,True,True
33,False,True,False,True,True,False,True,True
34,False,False,False,True,True,False,False,True
35,False,False,True,True,True,False,True,True
36,False,True,True,True,False,False,True,False
37,False,False,True,True,False,False,True,True
38,True,False,False,True,True,True,True,False
39,True,False,True,False,True,True,False,False
40,True,False,False,True,False,True,True,True
41,True,False,True,True,True,True,True,True
42,True,False,True,True,True,True,False,False
43,False,False,False,False,True,False,True,False
44,False,False,False,False,True,True,True,True
45,False,False,True,False,False,True,False,True
46,False,True,False,False,True,False,True,True
47,True,True,True,False,True,True,True,True
48,False,False,True,True,True,True,False,True
49,True,False,True,True,True,False,True,True
50,True,True,True,False,True,True,False,True
51,False,False,True,False,False,False,False,False
52,False,True,False,False,True,False,True,False
53,False,False,True,True,True,False,True,True
54,False,False,False,True,True,True,True,True
55,False,False,True,True,False,True,True,False
56,True,True,True,False,True,True,False,True
57,True,True,False,False,False,True,True,False
58,True,True,True,False,True,True,True,True
59,True,True,True,True,True,False,True,True
60,True,False,False,True,False,True,True,False
61,True,True,False,True,False,False,True,True
62,False,True,True,True,False,True,False,True
63,False,False,True,True,False,False,False,False
64,True,False,True,True,False,True,True,False
65,True,False,True,True,False,True,True,False
66,True,True,True,False,False,True,True,True
67,True,False,True,False,False,True,True,False
68,False,True,True,True,True,True,False,True
69,False,True,True,False,True,False,False,True
70,False,True,False,True,False,False,True,True
71,False,True,True,True,True,False,False,False
72,True,True,False,False,False,False,False,False
73,True,False,False,True,True,False,False,False
74,True,False,False,False,True,True,False,True
75,True,True,True,False,True,True,True,True
76,True,False,False,False,True,False,True,False
77,False,True,True,True,False,True,False,False
78,True,True,True,True,True,True,True,True
79,True,True,True,False,True,True,True,True
80,True,True,True,True,True,True,False,True
81,True,False,True,False,False,True,True,True
82,True,False,False,False,False,True,False,False
83,True,False,False,False,True,False,True,True
