,0,1,2,3,4,5,6,7
0,False,True,False,False,False,True,False,True
1,False,False,False,False,False,False,False,False
2,True,False,True,True,False,False,False,False
3,True,True,False,False,False,True,True,False
4,False,True,False,False,False,True,True,True
5,False,False,False,False,False,True,False,False
6,True,True,False,False,False,True,True,True
7,False,False,False,False,False,True,True,True
8,True,False,True,False,False,True,False,False
9,True,False,False,False,False,True,True,True
10,False,True,False,False,False,False,False,False
11,True,False,False,False,False,False,True,False
12,False,False,False,False,False,False,False,True
13,False,False,False,False,False,False,False,False
14,False,False,False,False,False,False,False,True
15,True,True,False,False,False,False,False,False
16,False,False,False,False,False,False,False,False
17,False,False,False,False,False,False,True,True
18,True,False,False,False,False,False,False,True
19,False,True,False,False,False,False,False,True
20,False,False,False,False,False,False,False,False
21,False,False,False,False,False,False,True,True
22,False,False,False,False,False,False,True,True
23,False,False,False,False,False,True,True,True
24,False,False,False,False,False,False,False,True
25,False,False,False,False,False,False,True,True
26,True,True,True,False,False,False,False,False
27,True,True,True,False,False,False,False,False
28,True,True,True,True,False,True,True,False
29,False,False,False,False,False,False,True,False
30,False,False,False,False,False,True,True,True
31,True,False,False,False,False,False,False,True
32,False,False,False,False,False,False,True,True
33,False,False,False,False,False,False,True,False
34,False,True,False,False,False,False,False,False
35,True,False,False,True,False,False,False,True
36,False,False,False,False,False,True,False,False
37,False,True,False,False,False,True,True,True
38,True,False,False,False,False,True,True,False
39,True,True,True,True,False,False,False,False
40,False,True,True,False,False,False,False,False
41,False,False,False,False,False,False,False,True
42,True,True,True,False,False,False,False,True
43,True,True,False,False,False,True,True,True
44,True,True,False,False,False,False,False,False
45,False,False,False,False,False,False,False,False
46,True,True,False,False,False,False,False,True
47,True,False,False,False,False,True,False,True
48,False,False,True,False,False,False,False,False
49,False,True,False,False,False,False,False,True
50,False,False,False,False,False,True,True,True
51,True,True,True,False,False,False,False,False
52,True,False,False,False,False,False,False,False
53,False,True,True,False,False,False,True,True
54,True,False,False,False,False,False,False,False
55,False,False,False,False,False,False,False,False
56,False,True,True,True,False,False,False,True
57,False,False,False,False,False,False,True,False
58,True,True,False,False,False,False,False,False
59,False,True,False,False,False,False,False,False
60,False,False,False,False,False,False,False,False
61,True,False,False,False,False,False,False,False
62,False,True,False,False,False,False,False,False
63,False,False,False,False,False,True,True,False
64,True,False,False,False,False,True,False,True
65,True,True,True,False,False,True,True,False
66,True,True,False,False,False,False,False,False
67,True,True,False,False,False,False,False,False
68,False,True,True,False,False,False,False,True
69,True,False,False,False,False,False,False,True
70,False,True,True,False,False,True,True,True
71,True,False,False,False,False,False,False,False
72,True,True,False,False,False,True,True,True
73,True,False,False,False,False,False,False,False
74,True,True,True,False,False,False,True,True
75,False,True,True,False,False,True,False,True
76,True,True,False,False,False,True,False,False
77,False,False,False,False,False,False,False,True
78,False,False,False,False,False,False,False,False
79,False,True,False,False,False,True,True,True
80,False,True,True,False,False,False,False,False
81,True,False,False,False,False,False,False,False
82,True,False,False,False,False,True,True,False
83,False,True,True,False,False,False,False,False
84,False,False,False,False,False,False,False,False
85,False,True,True,True,False,True,False,True
86,False,False,False,False,False,False,False,False
87,True,False,False,False,False,True,False,False
88,True,False,False,False,False,True,True,True
89,False,True,True,False,False,True,True,False
90,False,False,False,False,False,False,False,True
91,True,True,False,False,False,False,False,True
92,True,True,True,False,False,False,True,False
93,True,False,False,False,False,False,True,False
94,True,True,False,False,False,False,False,False
95,True,True,False,False,False,False,False,True
96,False,False,False,False,False,False,False,False
97,True,False,False,False,False,True,True,False
98,False,False,False,False,False,False,False,False
99,False,True,False,False,False,True,True,True
100,True,True,False,False,False,False,False,True
101,True,False,False,False,False,True,True,False
102,True,False,False,False,False,False,False,False
103,True,False,False,False,False,True,True,True
