,0,1,2,3,4,5,6,7
0,True,False,True,False,False,True,False,True
1,False,False,False,False,False,False,True,True
2,False,True,True,True,False,False,True,True
3,False,True,False,False,False,False,True,True
4,True,False,False,False,False,True,False,False
5,True,True,False,False,False,False,False,True
6,True,True,True,True,True,True,False,False
7,True,True,False,False,False,True,True,True
8,True,True,False,False,False,True,True,True
9,False,False,False,False,False,False,False,True
10,False,True,True,True,True,True,False,True
11,True,False,False,False,False,True,True,False
12,True,True,True,False,False,False,False,True
13,True,False,True,True,False,False,False,True
14,True,False,False,False,False,True,False,True
15,True,True,False,False,False,False,False,True
16,True,True,True,False,False,True,True,True
17,True,True,True,False,False,True,True,True
18,True,True,False,False,False,True,True,True
19,True,True,True,True,False,True,True,False
20,True,True,False,False,False,True,False,False
21,True,True,True,False,False,False,True,True
22,True,True,True,True,False,False,False,False
23,True,True,False,True,False,True,True,True
24,False,True,True,False,False,False,True,False
25,True,True,True,True,True,True,False,True
26,False,True,False,False,False,True,True,True
27,False,False,False,False,False,True,True,True
28,True,False,False,False,False,False,False,False
29,True,False,False,False,False,False,False,True
30,True,True,True,False,False,False,False,False
31,False,True,True,False,False,False,False,True
32,False,True,True,False,False,False,False,False
33,True,True,False,False,False,True,True,True
34,True,True,False,False,False,False,True,True
35,True,False,True,False,False,True,True,False
36,False,True,False,False,False,True,True,True
37,False,True,True,False,False,True,True,True
38,True,True,True,False,False,False,False,False
39,True,True,False,False,False,True,False,False
40,True,False,True,False,False,True,True,False
41,True,True,False,False,False,True,False,True
42,True,True,False,False,False,False,True,True
43,True,True,True,True,True,True,True,False
44,False,True,True,False,False,True,True,True
45,False,False,False,False,False,True,False,True
46,False,True,True,True,False,True,True,True
47,True,False,False,False,False,True,True,False
48,True,True,False,False,False,True,True,True
49,True,False,True,True,True,True,True,True
50,True,True,True,False,False,False,True,True
51,True,True,False,False,False,False,True,True
52,False,True,True,False,False,False,False,False
53,True,False,False,False,False,False,False,False
54,True,False,False,False,False,True,True,True
55,True,False,True,False,False,True,True,False
56,True,True,False,False,True,True,True,False
57,False,False,False,False,False,True,True,True
58,False,True,True,False,False,False,False,False
59,True,True,False,False,False,True,True,True
60,True,False,False,False,False,True,True,True
61,True,False,True,True,True,True,True,True
62,False,True,False,False,False,False,True,False
63,True,True,True,True,False,False,False,False
64,True,True,False,False,False,False,False,False
65,False,True,False,False,False,True,True,True
66,True,False,False,False,False,True,True,False
67,True,False,False,False,False,False,False,True
68,True,True,False,False,False,False,True,True
69,True,True,True,True,False,False,True,False
70,True,False,False,False,False,True,False,True
71,True,False,True,True,False,False,True,True
72,True,True,True,False,False,True,True,False
73,False,False,False,False,False,False,False,False
74,True,True,True,True,True,True,True,False
75,False,True,False,False,False,True,True,False
76,True,True,True,True,False,False,False,True
